和名	学名 
クロヌタウナギ	Eptatretus atami
ヌタウナギ	Eptatretus burgeri
ムラサキヌタウナギ	Eptatretus okinoseanus
キタクロヌタウナギ	Eptatretus walkeri
ホソヌタウナギ	Myxine garmani
オキナホソヌタウナギ	Myxine paucidens
ミツバヤツメ	Entosphenus tridentatus
カワヤツメ	Lethenteron camtschaticum
シベリアヤツメ	Lethenteron kessleri
スナヤツメ北方種・南方種	Lethenteron mitsukurii
スナヤツメ	Lethenteron reissneri
スナヤツメ北方種	Lethenteron sp.
スナヤツメ南方種	Lethenteron sp.
ジョルダンギンザメ	Chimaera jordani
ギンザメダマシ	Chimaera ogilbyi
シロブチギンザメ	Chimaera owstoni
ギンザメ	Chimaera phantasma
ココノホシギンザメ	Hydrolagus barbouri
ニジギンザメ	Hydrolagus eidolon
アカギンザメ	Hydrolagus mitsukurii
ムラサキギンザメ	Hydrolagus purpurescens
アズマギンザメ	Harriotta chaetirhampha
ヨミノツカイ	Harriotta raleighana
クロテングギンザメ	Rhinochimaera africana
テングギンザメ	Rhinochimaera pacifica
ネコザメ	Heterodontus japonicus
シマネコザメ	Heterodontus zebra
ヒゲザメ	Cirrhoscyllium expolitum
クラカケザメ	Cirrhoscyllium japonicum
オオセ	Orectolobus japonicus
シマザメ	Chiloscyllium griseum
テンジクザメ	Chiloscyllium plagiosum
イヌザメ	Chiloscyllium punctatum
トラフザメ	Stegostoma tigrinum
オオテンジクザメ	Nebrius ferrugineus
ジンベエザメ	Rhincodon typus
ミツクリザメ	Mitsukurina owstoni
シロワニ	Carcharias taurus
オオワニザメ	Odontaspis ferox
ミズワニ	Pseudocarcharias kamoharai
メガマウスザメ	Megachasma pelagios
ウバザメ	Cetorhinus maximus
ホホジロザメ	Carcharodon carcharias
アオザメ	Isurus oxyrinchus
バケアオザメ	Isurus paucus
ネズミザメ	Lamna ditropis
ニタリ	Alopias pelagicus
ハチワレ	Alopias superciliosus
マオナガ	Alopias vulpinus
サンゴトラザメ	Atelomycterus marmoratus
ナヌカザメ	Cephaloscyllium umbratile
フカミトラザメ	Scyliorhinus hachijoensis
トラザメ	Scyliorhinus torazame
アラメヘラザメ	Apristurus fedorovi
ナンカイヘラザメ	Apristurus gibbosus
ヤリヘラザメ	Apristurus herklotsi
ニホンヘラザメ	Apristurus japonicus
テングヘラザメ	Apristurus longicephalus
ナガヘラザメ	Apristurus macrorhynchus
リュウキュウヘラザメ	Apristurus macrostomus
ヘラザメ	Apristurus platyrhynchus
ヤモリザメ	Galeus eastmani
ハシナガヤモリザメ	Galeus longirostris
ニホンヤモリザメ	Galeus nipponensis
タイワンヤモリザメ	Galeus sauteri
ナガサキトラザメ	Halaelurus buergeri
イモリザメ	Parmaturus pilosus
タイワンザメ	Proscyllium habereri
チヒロザメ	Pseudotriakis microdon
イレズミエイラクブカ	Hemitriakis complicofasciata
