和名	学名	科
クロヌタウナギ	Eptatretus atami (Dean 1904)	ヌタウナギ科
ヌタウナギ	Eptatretus burgeri (Girard 1855)	ヌタウナギ科
ムラサキヌタウナギ	Eptatretus okinoseanus (Dean 1904)	ヌタウナギ科
キタクロヌタウナギ	Eptatretus walkeri (McMillan & Wisner 2004)	ヌタウナギ科
ホソヌタウナギ	Myxine garmani Jordan & Snyder 1901	ヌタウナギ科
オキナホソヌタウナギ	Myxine paucidens Regan 1913	ヌタウナギ科
ミツバヤツメ	Entosphenus tridentatus (Richardson 1836)	ヤツメウナギ科
カワヤツメ	Lethenteron camtschaticum (Tilesius 1811)	ヤツメウナギ科
シベリアヤツメ	Lethenteron kessleri (Anikin 1905)	ヤツメウナギ科
スナヤツメ北方種・南方種	Lethenteron mitsukurii (Hatta 1901)	ヤツメウナギ科
スナヤツメ	Lethenteron reissneri (Dybowski 1869)	ヤツメウナギ科
スナヤツメ北方種	Lethenteron sp. N.	ヤツメウナギ科
スナヤツメ南方種	Lethenteron sp. S.	ヤツメウナギ科
ジョルダンギンザメ	Chimaera jordani Tanaka 1905	ギンザメ科
ギンザメダマシ	Chimaera ogilbyi Waite 1898	ギンザメ科
シロブチギンザメ	Chimaera owstoni Tanaka 1905	ギンザメ科
ギンザメ	Chimaera phantasma Jordan & Snyder 1900	ギンザメ科
ココノホシギンザメ	Hydrolagus barbouri (Garman 1908)	ギンザメ科
ニジギンザメ	Hydrolagus eidolon (Jordan & Hubbs 1925)	ギンザメ科
アカギンザメ	Hydrolagus mitsukurii (Jordan & Snyder 1904)	ギンザメ科
ムラサキギンザメ	Hydrolagus purpurescens (Gilbert 1905)	ギンザメ科
アズマギンザメ	Harriotta chaetirhampha (Tanaka 1909)	テングギンザメ科
ヨミノツカイ	Harriotta raleighana Goode & Bean 1895	テングギンザメ科
クロテングギンザメ	Rhinochimaera africana Compagno, Stehmann & Ebert 1990	テングギンザメ科
テングギンザメ	Rhinochimaera pacifica (Mitsukuri 1895)	テングギンザメ科
ネコザメ	Heterodontus japonicus Miklouho-Maclay & Macleay 1884	ネコザメ科
シマネコザメ	Heterodontus zebra (Gray 1831)	ネコザメ科
ヒゲザメ	Cirrhoscyllium expolitum Smith & Radcliffe 1913	クラカケザメ科
クラカケザメ	Cirrhoscyllium japonicum Kamohara 1943	クラカケザメ科
オオセ	Orectolobus japonicus Regan 1906	オオセ科
シマザメ	Chiloscyllium griseum Müller & Henle 1838	テンジクザメ科
テンジクザメ	Chiloscyllium plagiosum (Anonymous 1830)	テンジクザメ科
イヌザメ	Chiloscyllium punctatum Müller & Henle 1838	テンジクザメ科
トラフザメ	Stegostoma tigrinum (Forster 1781)	トラフザメ科
オオテンジクザメ	Nebrius ferrugineus (Lesson 1831)	コモリザメ科
ジンベエザメ	Rhincodon typus Smith 1828	ジンベエザメ科
ミツクリザメ	Mitsukurina owstoni Jordan 1898	ミツクリザメ科
シロワニ	Carcharias taurus Rafinesque 1810	オオワニザメ科
オオワニザメ	Odontaspis ferox (Risso 1810)	オオワニザメ科
ミズワニ	Pseudocarcharias kamoharai (Matsubara 1936)	ミズワニ科
メガマウスザメ	Megachasma pelagios Taylor, Compagno & Struhsaker 1983	メガマウスザメ科
ウバザメ	Cetorhinus maximus (Gunnerus 1765)	ウバザメ科
ホホジロザメ	Carcharodon carcharias (Linnaeus 1758)	ネズミザメ科
アオザメ	Isurus oxyrinchus Rafinesque 1810	ネズミザメ科
バケアオザメ	Isurus paucus Guitart Manday 1966	ネズミザメ科
ネズミザメ	Lamna ditropis Hubbs & Follett 1947	ネズミザメ科
ニタリ	Alopias pelagicus Nakamura 1935	オナガザメ科
ハチワレ	Alopias superciliosus Lowe 1841	オナガザメ科
マオナガ	Alopias vulpinus (Bonnaterre 1788)	オナガザメ科
サンゴトラザメ	Atelomycterus marmoratus (Anonymous 1830)	トラザメ科
ナヌカザメ	Cephaloscyllium umbratile Jordan & Fowler 1903	トラザメ科
フカミトラザメ	Scyliorhinus hachijoensis Ito, Fujii, Nohara & Tanaka 2022	トラザメ科
トラザメ	Scyliorhinus torazame (Tanaka 1908)	トラザメ科
アラメヘラザメ	Apristurus fedorovi Dolganov 1983	ヘラザメ科
ナンカイヘラザメ	Apristurus gibbosus Meng, Chu & Li 1985	ヘラザメ科
ヤリヘラザメ	Apristurus herklotsi (Fowler 1934)	ヘラザメ科
ニホンヘラザメ	Apristurus japonicus Nakaya 1975	ヘラザメ科
テングヘラザメ	Apristurus longicephalus Nakaya 1975	ヘラザメ科
ナガヘラザメ	Apristurus macrorhynchus (Tanaka 1909)	ヘラザメ科
リュウキュウヘラザメ	Apristurus macrostomus Chu, Meng & Li 1985	ヘラザメ科
ヘラザメ	Apristurus platyrhynchus (Tanaka 1909)	ヘラザメ科
ヤモリザメ	Galeus eastmani (Jordan & Snyder 1904)	ヘラザメ科
ハシナガヤモリザメ	Galeus longirostris Tachikawa & Taniuchi 1987	ヘラザメ科
ニホンヤモリザメ	Galeus nipponensis Nakaya 1975	ヘラザメ科
タイワンヤモリザメ	Galeus sauteri (Jordan & Richardson 1909)	ヘラザメ科
ナガサキトラザメ	Halaelurus buergeri (Müller & Henle 1838)	ヘラザメ科
イモリザメ	Parmaturus pilosus Garman 1906	ヘラザメ科
タイワンザメ	Proscyllium habereri Hilgendorf 1904	タイワンザメ科
チヒロザメ	Pseudotriakis microdon de Brito Capello 1868	チヒロザメ科
イレズミエイラクブカ	Hemitriakis complicofasciata Takahashi & Nakaya 2004	ドチザメ科
エイラクブカ	Hemitriakis japanica (Müller & Henle 1839)	ドチザメ科
ツマグロエイラクブカ	Hypogaleus hyugaensis (Miyosi 1939)	ドチザメ科
シロザメ	Mustelus griseus Pietschmann 1908	ドチザメ科
ホシザメ	Mustelus manazo Bleeker 1855	ドチザメ科
ドチザメ	Triakis scyllium Müller & Henle 1839	ドチザメ科
テンイバラザメ	Paragaleus tengi (Chen 1963)	ヒレトガリザメ科
ツマジロ	Carcharhinus albimarginatus (Rüppell 1837)	メジロザメ科
オグロメジロザメ	Carcharhinus amblyrhynchos (Bleeker 1856)	メジロザメ科
クロヘリメジロザメ	Carcharhinus brachyurus (Günther 1870)	メジロザメ科
ハナザメ	Carcharhinus brevipinna (Valenciennes 1839)	メジロザメ科
クロトガリザメ	Carcharhinus falciformis (Bibron 1839)	メジロザメ科
ガラパゴスザメ	Carcharhinus galapagensis (Snodgrass & Heller 1905)	メジロザメ科
オオメジロザメ（ウシザメ）	Carcharhinus leucas (Valenciennes 1839)	メジロザメ科
カマストガリザメ	Carcharhinus limbatus (Valenciennes 1839)	メジロザメ科
ヨゴレ	Carcharhinus longimanus (Poey 1861)	メジロザメ科
ホコサキ	Carcharhinus macloti (Müller & Henle 1839)	メジロザメ科
ツマグロ	Carcharhinus melanopterus (Quoy & Gaimard 1824)	メジロザメ科
ドタブカ	Carcharhinus obscurus (Lesueur 1818)	メジロザメ科
メジロザメ	Carcharhinus plumbeus (Nardo 1827)	メジロザメ科
ホウライザメ	Carcharhinus sorrah (Valenciennes 1839)	メジロザメ科
スミツキザメ	Carcharhinus tjutjot (Bleeker 1852)	メジロザメ科
