曲鲤:Aaptosyax grypus
丝鳍宽尾鳞鲀:Abalistes filamentosus
星点宽尾鳞鲀:Abalistes stellaris
宽尾鳞鲀:Abalistes stellatus
越南棒花鱼:Abbottina binhi
拉林棒花鱼:Abbottina lalinensis
辽宁棒花鱼:Abbottina liaoningensis
钝吻棒花鱼:Abbottina obtusirostris
棒花鱼:Abbottina rivularis
红帆鳍鲉:Ablabys binotatus
大棘帆鳍鲉:Ablabys macracanthus
背带帆鳍鲉:Ablabys taenianotus
横带扁颌针鱼:Ablennes hians
紧口阿匍虾虎鱼:Aboma etheostoma
长体阿波鳅:Aborichthys elongatus
欧鳊:Abramis brama
扁脂鲤:Abramites hypselonotus
平腹豆娘鱼:Abudefduf abdominalis
孟加拉豆娘鱼:Abudefduf bengalensis
杂色豆娘鱼:Abudefduf concolor
横带豆娘鱼:Abudefduf conformis
白带豆娘鱼:Abudefduf declivifrons
霍氏豆娘鱼:Abudefduf hoefleri
劳伦氏豆娘鱼:Abudefduf lorenzi
蓝鳍豆娘鱼:Abudefduf luridus
珍珠豆娘鱼:Abudefduf margariteus
黄尾豆娘鱼:Abudefduf notatus
岩豆娘鱼:Abudefduf saxatilis
七带豆娘鱼:Abudefduf septemfasciatus
六带豆娘鱼:Abudefduf sexfasciatus
豆娘鱼:Abudefduf sordidus
鲷状豆娘鱼:Abudefduf sparoides
夜豆娘鱼:Abudefduf taurus
屈氏豆娘鱼:Abudefduf troschelii
五带豆娘鱼:Abudefduf vaigiensis
惠氏豆娘鱼:Abudefduf whitleyi
隆背渊杜父鱼:Abyssocottus gibbosus
柯氏渊杜父鱼:Abyssocottus korotneffi
勃氏刺尾革鲀:Acanthaluteres brownii
缰刺尾革鲀:Acanthaluteres spilomelanurus
饰圈刺尾革鲀:Acanthaluteres vittiger
须棘吻鱼:Acanthaphritis barbata
昂氏棘吻鱼:Acanthaphritis unoorum
刺臀鱼:Acantharchus pomotis
粗头棘胎鳚:Acanthemblemaria aspera
贝特棘胎鳚:Acanthemblemaria betinensis
蔡氏棘胎鳚:Acanthemblemaria chaplini
克罗克氏棘胎鳚:Acanthemblemaria crockeri
弱刺棘胎鳚:Acanthemblemaria exilispinus
格氏棘胎鳚:Acanthemblemaria greenfieldi
汉氏棘胎鳚:Acanthemblemaria hancocki
大斑棘胎鳚:Acanthemblemaria macrospilus
小棘胎鳚:Acanthemblemaria paula
李氏棘胎鳚:Acanthemblemaria rivasi
棘头棘胎鳚:Acanthemblemaria spinosa
大棘甲鲶:Acanthicus adonis
刺蝟棘甲鲶:Acanthicus hystrix
巴西刺鮨:Acanthistius brasilianus
环带刺鮨:Acanthistius cinctus
琼氏刺鮨:Acanthistius joanae
睛斑刺鮨:Acanthistius ocellatus
云纹刺鮨:Acanthistius patachonicus
花刺鮨:Acanthistius pictus
宽带刺鮨:Acanthistius serratus
利氏刺鳊:Acanthobrama lissneri
叙利亚刺鳊:Acanthobrama marmid
特拉维夫刺鳊:Acanthobrama telavivensis
棘丘头鲶:Acanthobunocephalus nicoi
小棘赤刀鱼:Acanthocepola abbreviata
印度棘赤刀鱼:Acanthocepola indica
克氏棘赤刀鱼:Acanthocepola krusensternii
背点棘赤刀鱼:Acanthocepola limbata
罗氏棘冠鲷:Acanthochaenus luetkenii
多刺棘光鳃鲷:Acanthochromis polyacanthus
蔡氏棘双鳍鲿:Acanthocleithron chapini
暗棘鮗:Acanthoclinus fuscus
巴基斯坦棘鳅:Acanthocobitis botia
孔雀棘鳅:Acanthocobitis pavonacea
尾斑棘鳅:Acanthocobitis urophthalmus
横带棘鳅:Acanthocobitis zonalternans
沙氏刺鲅:Acanthocybium solandri
亚马逊河陶乐棘鲶:Acanthodoras cataphractus
多刺陶乐棘鲶:Acanthodoras spinosissimus
棘龙䲢:Acanthodraco dewitti
刺鮈:Acanthogobio guentheri
黄鳍刺虾虎鱼:Acanthogobius flavimanus
矛尾刺虾虎鱼:Acanthogobius hasta
乳色刺虾虎鱼:Acanthogobius lactipes
棕刺虾虎鱼:Acanthogobius luridus
斑鳍刺虾虎鱼:Acanthogobius stigmothonus
帕氏刺隆头鱼:Acantholabrus palloni
大盖棘狮鱼:Acantholiparis opercularis
马氏刺北鳚:Acantholumpenus mackayi
大棘鼬鳚:Acanthonus armatus
澳洲棘鲷:Acanthopagrus australis
灰鳍棘鲷:Acanthopagrus berda
双带棘鲷:Acanthopagrus bifasciatus
布氏棘鲷:Acanthopagrus butcheri
琉球棘鲷:Acanthopagrus chinshira
黄鳍棘鲷:Acanthopagrus latus
太平洋棘鲷:Acanthopagrus pacificus
北澳棘鲷:Acanthopagrus palmaris
黑棘鲷:Acanthopagrus schlegelii
橘鳍棘鲷:Acanthopagrus sivicolus
台湾棘鲷:Acanthopagrus taiwanensis
迷棘鲷:Acanthopagrus vagus
滑腹若棘鮗:Acanthoplesiops psilogaster
细柄刺毛鼻鲶:Acanthopoma annectens
