團頭魴:Megalobrama amblycephala
曲鯉:Aaptosyax grypus
絲鰭寬尾鱗魨:Abalistes filamentosus
星點寬尾鱗魨:Abalistes stellaris
寬尾鱗魨:Abalistes stellatus
越南棒花魚:Abbottina binhi
拉林棒花魚:Abbottina lalinensis
遼寧棒花魚:Abbottina liaoningensis
鈍吻棒花魚:Abbottina obtusirostris
棒花魚:Abbottina rivularis
紅帆鰭鮋:Ablabys binotatus
大棘帆鰭鮋:Ablabys macracanthus
背帶帆鰭鮋:Ablabys taenianotus
橫帶扁頜針魚:Ablennes hians
緊口阿匍鰕虎:Aboma etheostoma
長體阿波鰍:Aborichthys elongatus
歐鯿:Abramis brama
扁脂鯉:Abramites hypselonotus
平腹豆娘魚:Abudefduf abdominalis
孟加拉豆娘魚:Abudefduf bengalensis
雜色豆娘魚:Abudefduf concolor
橫帶豆娘魚:Abudefduf conformis
白帶豆娘魚:Abudefduf declivifrons
霍氏豆娘魚:Abudefduf hoefleri
勞倫氏豆娘魚:Abudefduf lorenzi
藍鰭豆娘魚:Abudefduf luridus
珍珠豆娘魚:Abudefduf margariteus
黃尾豆娘魚:Abudefduf notatus
岩豆娘魚:Abudefduf saxatilis
七帶豆娘魚:Abudefduf septemfasciatus
六帶豆娘魚:Abudefduf sexfasciatus
豆娘魚:Abudefduf sordidus
鯛狀豆娘魚:Abudefduf sparoides
夜豆娘魚:Abudefduf taurus
屈氏豆娘魚:Abudefduf troschelii
五帶豆娘魚:Abudefduf vaigiensis
惠氏豆娘魚:Abudefduf whitleyi
隆背淵杜父魚:Abyssocottus gibbosus
柯氏淵杜父魚:Abyssocottus korotneffi
勃氏刺尾革魨:Acanthaluteres brownii
韁刺尾革魨:Acanthaluteres spilomelanurus
飾圈刺尾革魨:Acanthaluteres vittiger
鬚棘吻魚:Acanthaphritis barbata
昂氏棘吻魚:Acanthaphritis unoorum
刺臀魚:Acantharchus pomotis
粗頭棘胎鳚:Acanthemblemaria aspera
貝特棘胎鳚:Acanthemblemaria betinensis
蔡氏棘胎鳚:Acanthemblemaria chaplini
克羅克氏棘胎鳚:Acanthemblemaria crockeri
弱刺棘胎鳚:Acanthemblemaria exilispinus
格氏棘胎鳚:Acanthemblemaria greenfieldi
漢氏棘胎鳚:Acanthemblemaria hancocki
大斑棘胎鳚:Acanthemblemaria macrospilus
小棘胎鳚:Acanthemblemaria paula
李氏棘胎鳚:Acanthemblemaria rivasi
棘頭棘胎鳚:Acanthemblemaria spinosa
大棘甲鯰:Acanthicus adonis
刺蝟棘甲鯰:Acanthicus hystrix
巴西刺鮨:Acanthistius brasilianus
環帶刺鮨:Acanthistius cinctus
瓊氏刺鮨:Acanthistius joanae
睛斑刺鮨:Acanthistius ocellatus
雲紋刺鮨:Acanthistius patachonicus
花刺鮨:Acanthistius pictus
寬帶刺鮨:Acanthistius serratus
利氏刺鯿:Acanthobrama lissneri
敘利亞刺鯿:Acanthobrama marmid
特拉維夫刺鯿:Acanthobrama telavivensis
棘丘頭鯰:Acanthobunocephalus nicoi
小棘赤刀魚:Acanthocepola abbreviata
印度棘赤刀魚:Acanthocepola indica
克氏棘赤刀魚:Acanthocepola krusensternii
背點棘赤刀魚:Acanthocepola limbata
羅氏棘冠鯛:Acanthochaenus luetkenii
多刺棘光鰓鯛:Acanthochromis polyacanthus
蔡氏棘雙鰭鱨:Acanthocleithron chapini
暗棘鮗:Acanthoclinus fuscus
巴基斯坦棘鰍:Acanthocobitis botia
孔雀棘鰍:Acanthocobitis pavonacea
尾斑棘鰍:Acanthocobitis urophthalmus
橫帶棘鰍:Acanthocobitis zonalternans
沙氏刺鮁:Acanthocybium solandri
亞馬遜河陶樂棘鯰:Acanthodoras cataphractus
多刺陶樂棘鯰:Acanthodoras spinosissimus
棘龍鰧:Acanthodraco dewitti
刺鮈:Acanthogobio guentheri
黃鰭刺鰕虎:Acanthogobius flavimanus
矛尾刺鰕虎:Acanthogobius hasta
乳色刺鰕虎:Acanthogobius lactipes
棕刺鰕虎:Acanthogobius luridus
斑鰭刺鰕虎:Acanthogobius stigmothonus
帕氏刺隆頭魚:Acantholabrus palloni
大蓋棘獅魚:Acantholiparis opercularis
馬氏刺北鳚:Acantholumpenus mackayi
大棘鼬鳚:Acanthonus armatus
澳洲棘鯛:Acanthopagrus australis
灰鰭棘鯛:Acanthopagrus berda
雙帶棘鯛:Acanthopagrus bifasciatus
布氏棘鯛:Acanthopagrus butcheri
琉球棘鯛:Acanthopagrus chinshira
黃鰭棘鯛:Acanthopagrus latus
太平洋棘鯛:Acanthopagrus pacificus
北澳棘鯛:Acanthopagrus palmaris
黑棘鯛:Acanthopagrus schlegelii
橘鰭棘鯛:Acanthopagrus sivicolus
臺灣棘鯛:Acanthopagrus taiwanensis
迷棘鯛:Acanthopagrus vagus
滑腹若棘鮗:Acanthoplesiops psilogaster
細柄刺毛鼻鯰:Acanthopoma annectens
納氏棘鰈:Acanthopsetta nadeshnyi
多斑三稜角箱魨:Acanthostracion polygonius
四角三稜角箱魨:Acanthostracion quadricornis
心斑刺尾魚:Acanthurus achilles
橘色刺尾魚:Acanthurus auranticavus
月尾刺尾魚:Acanthurus bahianus
鰓斑刺尾魚:Acanthurus bariene
布氏刺尾魚:Acanthurus blochii
小帶刺尾魚:Acanthurus chirurgus
藍刺尾魚:Acanthurus coeruleus
額帶刺尾魚:Acanthurus dussumieri
肩斑刺尾魚:Acanthurus gahhm
黑體刺尾魚:Acanthurus grammoptilus
斑點刺尾魚:Acanthurus guttatus
日本刺尾魚:Acanthurus japonicus
白唇刺尾魚:Acanthurus leucocheilus
白頰刺尾魚:Acanthurus leucopareius
白胸刺尾魚:Acanthurus leucosternon
縱帶刺尾魚:Acanthurus lineatus
斑頭刺尾魚:Acanthurus maculiceps
暗色刺尾魚:Acanthurus mata
尾斑刺尾魚:Acanthurus monroviae
白面刺尾魚:Acanthurus nigricans
黑尾刺尾魚:Acanthurus nigricauda
褐斑刺尾魚:Acanthurus nigrofuscus
暗刺尾魚:Acanthurus nigroris
密線刺尾魚:Acanthurus nubilus
橙斑刺尾魚:Acanthurus olivaceus
多帶刺尾魚:Acanthurus polyzona
黑鰓刺尾魚:Acanthurus pyroferus
馬克薩斯島刺尾魚:Acanthurus reversus
紅海刺尾魚:Acanthurus sohal
坦氏刺尾魚:Acanthurus tennentii
黃尾刺尾魚:Acanthurus thompsoni
橫帶刺尾魚:Acanthurus triostegus
暗體刺尾魚:Acanthurus tristis
黃鰭刺尾魚:Acanthurus xanthopterus
馬頭小刺眼鰍:Acantopsis choirorhynchos
蒼帶小刺眼鰍:Acantopsis dialuzona
